model,cic_recall,aragat_recall,degradation,degradation_pct
RandomForest,0.9888388838883888,0.0,0.9888388838883888,100.0
XGBoost,0.9888988898889888,0.0,0.9888988898889888,100.0
LightGBM,0.989018901890189,0.0,0.989018901890189,100.0
LSTM,0.9891389138913892,0.07170542635658915,0.9174334875348,92.75072233540064
CNN,0.9891389138913892,0.44573643410852715,0.543402479782862,54.93692262546346
LogisticRegression,0.9851785178517852,0.47674418604651164,0.5084343318052735,51.608345349828745
