model,recall_total,precision_total,f1_total,evasion_total,consistency_std,consistency_range,tp,fp,tn,fn,n_seeds,seeds,recall_seed10,recall_seed21,recall_seed35,recall_seed42,recall_seed60,recall_seed75,recall_seed82,recall_seed99
RandomForest,0.0,0.0,0.0,1.0,0.0,0.0,0,939,36221,6672,8,"10,21,35,42,60,75,82,99",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XGBoost,0.0,0.0,0.0,1.0,0.0,0.0,0,0,37160,6672,8,"10,21,35,42,60,75,82,99",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LightGBM,0.0,0.0,0.0,1.0,0.0,0.0,0,0,37160,6672,8,"10,21,35,42,60,75,82,99",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LSTM,0.0636990407673861,0.2883310719131615,0.10434569113675424,0.9363009592326139,0.007794707414277267,0.025266362252663627,425,1049,36111,6247,8,"10,21,35,42,60,75,82,99",0.0593607305936073,0.06050228310502283,0.07777777777777778,0.05821917808219178,0.06621004566210045,0.06735159817351598,0.05251141552511415,0.0730593607305936
LogisticRegression,0.45218824940047964,1.0,0.6227680875219321,0.5478117505995204,0.014682094945705984,0.0421359715880264,3017,0,37160,3655,8,"10,21,35,42,60,75,82,99",0.4726027397260274,0.4611872146118721,0.4759259259259259,0.4452054794520548,0.4474885844748858,0.4337899543378995,0.4360730593607306,0.454337899543379
CNN,0.457583932853717,0.519836540098757,0.4867277799920287,0.542416067146283,0.010716250426953297,0.02968036529680368,3053,2820,34340,3619,8,"10,21,35,42,60,75,82,99",0.4714611872146119,0.4714611872146119,0.4648148148148148,0.4600456621004566,0.454337899543379,0.4429223744292237,0.45662100456621,0.4417808219178082
