model,accuracy,precision,recall,f1_score,auc_roc,fpr,tp,fp,tn,fn
LightGBM,0.9352121523613729,0.8876561826798793,0.989018901890189,0.9356001475889081,0.9408808686065534,0.11363512556517949,16482,2086,16271,183
XGBoost,0.9351264919193649,0.8875962729573975,0.9888988898889889,0.935513169845595,0.9412076932484881,0.11368960069728169,16480,2087,16270,185
RandomForest,0.9350979384386957,0.8875902186793062,0.9888388838883888,0.9354829553518208,0.9406770780036003,0.11368960069728169,16479,2087,16270,186
LSTM,0.9349837245160185,0.8875659950436375,0.9885988598859886,0.9353620802225565,0.9412820625092416,0.11368960069728169,16475,2087,16270,190
CNN,0.9348695105933413,0.8875835309333908,0.9882988298829883,0.9352375003549019,0.9419071601554664,0.11363512556517949,16470,2086,16271,195
LogisticRegression,0.9332705156758608,0.8870758590879619,0.9851785178517852,0.9335569897364455,0.9400893709243452,0.11385302609358827,16418,2090,16267,247
