model,recall_total,precision_total,f1_total,evasion_total,consistency_std,consistency_range,tp,fp,tn,fn,n_seeds,seeds,recall_seed10,recall_seed25,recall_seed35,recall_seed42,recall_seed60,recall_seed75,recall_seed99
RandomForest,0.0,0.0,0.0,1.0,0.0,0.0,0,276,21884,3972,7,"10,25,35,42,60,75,99",0.0,0.0,0.0,0.0,0.0,0.0,0.0
XGBoost,0.0,0.0,0.0,1.0,0.0,0.0,0,0,22160,3972,7,"10,25,35,42,60,75,99",0.0,0.0,0.0,0.0,0.0,0.0,0.0
LightGBM,0.0,0.0,0.0,1.0,0.0,0.0,0,0,22160,3972,7,"10,25,35,42,60,75,99",0.0,0.0,0.0,0.0,0.0,0.0,0.0
LSTM,0.07301107754279959,0.38615179760319573,0.12280330298539065,0.9269889224572004,0.012160093020370716,0.03204311351810555,290,461,21699,3682,7,"10,25,35,42,60,75,99",0.07170542635658915,0.05813953488372093,0.09018264840182648,0.07170542635658915,0.0872093023255814,0.060077519379844964,0.060077519379844964
CNN,0.45468277945619334,0.5104578858111928,0.48095872170439413,0.5453172205438066,0.016367538393573477,0.048768185196984226,1806,1732,20428,2166,7,"10,25,35,42,60,75,99",0.4748062015503876,0.4418604651162791,0.4337899543378995,0.44573643410852715,0.45930232558139533,0.48255813953488375,0.45930232558139533
LogisticRegression,0.46701913393756295,1.0,0.6366912648017848,0.5329808660624371,0.011888802390506535,0.031007751937984496,1855,0,22160,2117,7,"10,25,35,42,60,75,99",0.4806201550387597,0.45155038759689925,0.4657534246575342,0.47674418604651164,0.4573643410852713,0.48255813953488375,0.45542635658914726
