model,recall_total,precision_total,f1_total,evasion_total,consistency_std,consistency_range,tp,fp,tn,fn,n_seeds,seeds,recall_seed10,recall_seed25,recall_seed42,recall_seed60,recall_seed75,recall_seed99
RandomForest,0.0,0.0,0.0,1.0,0.0,0.0,0,276,17004,3096,6,"10,25,42,60,75,99",0.0,0.0,0.0,0.0,0.0,0.0
XGBoost,0.0,0.0,0.0,1.0,0.0,0.0,0,0,17280,3096,6,"10,25,42,60,75,99",0.0,0.0,0.0,0.0,0.0,0.0
LightGBM,0.0,0.0,0.0,1.0,0.0,0.0,0,0,17280,3096,6,"10,25,42,60,75,99",0.0,0.0,0.0,0.0,0.0,0.0
LSTM,0.06815245478036176,0.31398809523809523,0.11199575371549894,0.9318475452196382,0.010157742373072601,0.029069767441860468,211,461,16819,2885,6,"10,25,42,60,75,99",0.07170542635658915,0.05813953488372093,0.07170542635658915,0.0872093023255814,0.060077519379844964,0.060077519379844964
CNN,0.46059431524547806,0.5080156750979694,0.48314416398441473,0.5394056847545219,0.014488153418608405,0.04069767441860467,1426,1381,15899,1670,6,"10,25,42,60,75,99",0.4748062015503876,0.4418604651162791,0.44573643410852715,0.45930232558139533,0.48255813953488375,0.45930232558139533
LogisticRegression,0.4673772609819121,1.0,0.6370239929561964,0.5326227390180879,0.012826698741385529,0.031007751937984496,1447,0,17280,1649,6,"10,25,42,60,75,99",0.4806201550387597,0.45155038759689925,0.47674418604651164,0.4573643410852713,0.48255813953488375,0.45542635658914726
