model,recall_B,recall_C,delta,t_stat,p_value,cohens_d,sig
RandomForest,0.9978518518518518,0.005499182592028863,0.9923526692598229,677.6335697624437,2.5190192294183096e-20,225.87785653606724,***
XGBoost,0.9989629629629628,0.0,0.9989629629629628,3156.8338221740423,1.135541471935988e-25,1052.2779396162423,***
LightGBM,0.99,0.0,0.99,1464.7949768907167,5.284421578079058e-23,488.26499205609474,***
LogisticRegression,0.99,0.45280455493545296,0.5371954450645471,99.45354850424161,1.1667873383774181e-13,33.151182832701394,***
CNN,0.7722222222222223,0.29839618918766564,0.4738260330345566,77.91579063420072,8.206448016307496e-13,25.971930209976637,***
LSTM,0.11822222222222223,0.017960426179604264,0.10026179604261796,29.09803204228965,2.106710838285045e-09,9.699344013158234,***
