model,recall_total,precision_total,f1_total,evasion_total,consistency_std,consistency_range,tp,fp,tn,fn,n_seeds,seeds,recall_seed10,recall_seed21,recall_seed35,recall_seed42,recall_seed55,recall_seed60,recall_seed75,recall_seed82,recall_seed99
RandomForest,0.0,0.0,0.0,1.0,0.0,0.0,0,939,41101,7548,9,"10,21,35,42,55,60,75,82,99",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XGBoost,0.0,0.0,0.0,1.0,0.0,0.0,0,0,42040,7548,9,"10,21,35,42,55,60,75,82,99",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LightGBM,0.0,0.0,0.0,1.0,0.0,0.0,0,0,42040,7548,9,"10,21,35,42,55,60,75,82,99",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LSTM,0.018018018018018018,0.1468682505399568,0.032098182676422,0.9819819819819819,0.0038490619836839546,0.0136986301369863,136,790,41250,7412,9,"10,21,35,42,55,60,75,82,99",0.0182648401826484,0.01598173515981735,0.016666666666666666,0.0273972602739726,0.0136986301369863,0.01598173515981735,0.0182648401826484,0.02054794520547945,0.014840182648401826
CNN,0.29848966613672495,0.8026362664766655,0.4351521004345727,0.7015103338632751,0.015332927936649995,0.05707762557077628,2253,554,41486,5295,9,"10,21,35,42,55,60,75,82,99",0.2888127853881279,0.2922374429223744,0.2962962962962963,0.2694063926940639,0.2968036529680365,0.3264840182648402,0.3059360730593607,0.2945205479452055,0.3150684931506849
LogisticRegression,0.4517753047164812,1.0,0.622376346048549,0.5482246952835188,0.01392086875411547,0.0421359715880264,3410,0,42040,4138,9,"10,21,35,42,55,60,75,82,99",0.4726027397260274,0.4611872146118721,0.4759259259259259,0.4452054794520548,0.4486301369863014,0.4474885844748858,0.4337899543378995,0.4360730593607306,0.454337899543379
