model,strategy,dataset,accuracy,precision,recall,f1,auc
CNN,original,ARAGAT,0.44573643410852715,1.0,0.44573643410852715,0.6166219839142091,
CNN,complete-retraining,ARAGAT,0.6046511627906976,1.0,0.6046511627906976,0.7536231884057971,
CNN,original,CIC,0.9350408314773571,0.8872860372483583,0.9891389138913892,0.9354481741054961,0.9418547574646335
CNN,complete-retraining,CIC,0.933955799211924,0.887180317254775,0.9866786678667867,0.9342879059064177,0.9415103791797712
LSTM,original,ARAGAT,0.07170542635658915,1.0,0.07170542635658915,0.13381555153707053,
LSTM,complete-retraining,ARAGAT,1.0,1.0,1.0,1.0,
LSTM,original,CIC,0.9351835988807036,0.8875249017390836,0.9891389138913892,0.9355809069754243,0.9414894177765546
LSTM,complete-retraining,CIC,0.9348124036320027,0.8871540863572737,0.9887788778877887,0.9352138255909646,0.941405899047169
