model,recall_total,precision_total,f1_total,evasion_total,recall_seed42,recall_seed99,consistency,tp,fp,tn,fn
RandomForest,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,276,8364,1548
XGBoost,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,8640,1548
LightGBM,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,8640,1548
LSTM,0.06395348837209303,0.25190839694656486,0.10200927357032458,0.936046511627907,0.07170542635658915,0.060077519379844964,0.011627906976744186,99,294,8346,1449
CNN,0.4625322997416021,0.5035161744022504,0.48215488215488217,0.5374677002583979,0.44573643410852715,0.45930232558139533,0.013565891472868186,716,706,7934,832
LogisticRegression,0.4715762273901809,1.0,0.6409130816505707,0.5284237726098191,0.47674418604651164,0.45542635658914726,0.02131782945736438,730,0,8640,818
